USER,START TIME,END TIME
1,1067207668,1067209838
2,1067221797,1067222159
3,1066941032,1066941607
4,1067127737,1067127748
5,1067236323,1067237236
6,1067322033,1067323277
7,1067204383,1067223708
8,1067288078,1067307148
9,1067293809,1067316285
10,1067195872,1067196950
11,1067030489,1067030811
12,1067202449,1067207158
13,1067115038,1067115505
14,1067388431,1067389230
15,1067297225,1067297989
16,1067394357,1067394881
17,1067032305,1067034441
18,1067283486,1067284168
19,1067051455,1067398784
20,1067217617,1067220013
21,1067107759,1067110351
22,1067145695,1067194186
23,1067131354,1067131728
24,1067229911,1067309572
25,1067185201,1067185457
26,1067143718,1067146474
27,1067140211,1067315794
28,1067282139,1067282798
29,1067213052,1067216163
30,1067412057,1067480657
31,1067219097,1067219233
32,1067114201,1067114642
33,1067125003,1067125703
34,1067196876,1067199033
35,1067107404,1067108206
36,1067295561,1067316245
37,1067304844,1067304998
38,1067212982,1067213633
39,1066949306,1067117493
40,1067217482,1067217808
41,1067357725,1067358509
42,1067030859,1067103498
43,1066789524,1066790086
44,1067220602,1067221636
45,1067224789,1067225969
46,1067150291,1067245305
47,1067212352,1067213580
48,1067297030,1067297827
49,1066920190,1066920768
50,1067257319,1067314885
51,1067184675,1067185739
52,1067113462,1067115355
53,1067103086,1067105393
54,1067390812,1067390853
55,1067194015,1067395789
56,1067227347,1067305717
57,1067057743,1067058176
58,1067317686,1067318238
59,1067099957,1067329264
60,1067392707,1067407797
61,1067180557,1067181660
62,1067201230,1067212119
63,1067128844,1067129542
64,1067196468,1067196978
65,1067092785,1067093156
66,1067205071,1067205752
67,1067183725,1067385678
68,1067130305,1067130817
69,1067123812,1067206657
70,1066846685,1066846909
71,1067271286,1067271661
72,1067094584,1067095253
73,1067052080,1067064570
74,1067118958,1067120638
75,1067124062,1067124671
76,1067050777,1067051272
77,1067263706,1067393719
78,1066853499,1066855498
79,1067042406,1067043210
80,1067390546,1067392015
81,1067227158,1067228693
82,1067122332,1067125580
83,1067315660,1067316236
84,1067272796,1067273131
85,1067223662,1067232778
86,1066786223,1066786855
87,1067238948,1067240261
88,1067387760,1067387882
89,1067292256,1067292626
90,1067286926,1067287540
91,1067024605,1067024950
92,1067145824,1067146437
93,1067233067,1067234008
94,1067235991,1067236589
95,1067218538,1067221866
96,1067224615,1067225050
97,1067212993,1067213763
98,1067384353,1067390983
99,1067099527,1067104442
100,1066788413,1066788931
101,1067228664,1067230022
102,1067189239,1067222216
103,1067277962,1067279102
104,1067112914,1067114130
105,1067361963,1067362522
106,1067229481,1067229785
107,1067198293,1067198908
108,1067217476,1067218108
109,1067382775,1067383518
110,1067214596,1067215071
111,1067304017,1067304616
112,1067115261,1067115943
113,1067203905,1067214514
114,1067211373,1067212140
115,1067037699,1067240558
116,1067304828,1067312180
117,1067225240,1067226754
118,1067223391,1067223967
